tanggal,kk,mesin,fg_item,fg_qty,berat_unit,fg,hold,reject,waste,trimming,scrap_usage,dl,eff_hour,dt_produksi,dt_teknik,cleaning
24/03/2021,OM/21/0118,3,2938,110,29.70909,3268,0,417,0,44,210,3,6.57,1,0.67,FALSE
25/04/2021,OM/21/0167,3,2938,283,27.56184,7800,0,980,0,96,1690,3,20.25,1.75,0,FALSE
26/04/2021,OM/21/0167,3,2938,218,27.76606,6053,0,1003,0,70,2767,3,16,1.58,0.67,FALSE
27/02/2021,OM/21/050,5,2957,60,19.5,1170,0,181,0,165,100,3,7.17,0.58,0,FALSE
07/03/2021,OM/21/093,5,2895,103,42.75728,4404,0,516,0,156,550,3,13.25,1.75,0,FALSE
08/03/2021,OM/21/093,5,2895,34,42.76471,1454,0,25,0,60,190,3,4.75,0,0,FALSE
17/01/2021,OM/21/028,3,2938,172,27.04651,4652,0,984,0,98,1100,3,10.67,3,2,FALSE
18/01/2021,OM/21/028,3,2938,31,27.77419,861,0,340,0,18,420,3,2.33,0.83,0,FALSE
29/04/2021,OM/21/0176,3,2938,100,28.85,2885,0,400,0,40,750,3,6,1,0,FALSE
04/03/2021,OM/21/098,2,2938,102,27.52941,2808,0,166,0,33,1450,5,9.58,1.08,0,FALSE
05/03/2021,OM/21/098,2,2938,234,27.86752,6521,0,636,0,68,3200,5,22,1.5,0,FALSE
06/03/2021,OM/21/098,2,2938,144,28.94444,4168,0,380,0,45,1300,3,15.33,1.17,0,FALSE
22/04/2021,OM/21/0165,2,2895,135,40.21481,5429,0,736,2,63,1770,3,19.75,1.75,0.5,FALSE
12/01/2021,OM/21/020,3,2938,250,28.348,7087,0,905,0,143,2250,3,17.75,1.25,3,FALSE
13/01/2021,OM/21/020,3,2938,360,27.81667,10014,0,1158,0,183,2290,3,20.25,2.25,0.5,FALSE
14/01/2021,OM/21/020,3,2938,339,28.35103,9611,0,1160,0,159,1630,3,19.5,3,0,FALSE
15/01/2021,OM/21/020,3,2938,72,26.73611,1925,0,603,0,41,1000,3,4.25,1.5,1,FALSE
15/01/2021,OM/21/023,3,2953,130,32.49231,4224,0,852,0,92,1260,3,8.5,2.25,1,FALSE
25/03/2021,OM/21/0108,3,2938,18,28.5,513,0,1015,0,7,0,3,1.25,1.92,0,FALSE
26/03/2021,OM/21/0108,3,2938,229,28.32751,6487,0,1348,0,92,0,3,13.42,4.08,3.33,FALSE
27/03/2021,OM/21/0108,3,2938,361,28.03601,10121,0,1464,0,168,0,3,21.25,2.5,0,FALSE
26/04/2021,OM/21/0168,3,2938,75,28.4,2130,0,390,0,24,550,3,5.17,0.58,0,FALSE
27/04/2021,OM/21/0168,3,2938,338,27.77219,9387,0,692,0,133,2425,3,22.25,1.75,0,FALSE
28/04/2021,OM/21/0168,3,2938,188,26.52128,4986,0,377,0,48,1017,3,12.58,0.83,0,FALSE
04/03/2021,OM/21/085,5,2895,42,42.85714,1800,0,294,0,99,0,3,5.92,1.75,0,FALSE
05/03/2021,OM/21/085,5,2895,113,42.67257,4822,0,484,0,229,925,3,16.33,0.92,6,FALSE
06/03/2021,OM/21/085,5,2895,95,42.55789,4043,0,1030,0,170,975,3,12.08,3,0.83,FALSE
18/03/2021,OM/21/0106,5,2940,123,27.25203,3352,0,1440,0,108,900,3,10.25,4.17,0,FALSE
18/03/2021,OM/21/0108,5,2938,32,27.8125,890,0,185,0,20,200,3,3.33,0.5,0,FALSE
19/03/2021,OM/21/0108,5,2938,92,27.73913,2552,0,165,0,52,650,3,7.67,0.33,0,FALSE
21/02/2021,OM/21/065,2,2938,213,14.2723,3040,0,960,0,31,970,3,11.17,1.5,0,FALSE
25/02/2021,OM/21/080,3,2953,161,33.09317,5328,0,656,0,145,1212,3,11.42,2.33,0,FALSE
25/02/2021,OM/21/081,3,2938,100,33.43,3343,0,230,0,75,688,3,5.5,0.92,0,FALSE
26/02/2021,OM/21/081,3,2938,89,27.58427,2455,0,1849,0,36,770,3,4.58,5.08,0,FALSE
27/02/2021,OM/21/081,3,2938,25,27.6,690,0,966,0,14,80,3,2.67,1.17,0.42,FALSE
07/03/2021,OM/21/099,2,2938,8,26,208,0,1191,0,3,250,3,3,2.25,0,FALSE
08/03/2021,OM/21/099,2,2938,142,27.14085,3854,0,1347,0,49,1660,3,15.33,2.25,1.17,FALSE
18/01/2021,OM/21/029,3,2938,261,27.82375,7262,0,1717,0,150,2785,3,15.75,1.5,0.75,FALSE
19/01/2021,OM/21/029,3,2938,12,27.75,333,0,200,0,7,80,3,0.75,0.33,0,FALSE
24/03/2021,OM/21/0120,3,2938,13,27.61538,359,0,317,0,6,0,3,0.75,1,0,FALSE
25/03/2021,OM/21/0120,3,2938,188,28.35106,5330,0,597,0,68,0,3,10.7,0.33,0.5,FALSE
08/04/2021,OM/21/0141,3,2953,142,33.04225,4692,0,845,0,79,0,3,10.33,2.17,0,FALSE
09/04/2021,OM/21/0141,3,2953,60,25.63333,1538,0,124,0,23,0,3,4.08,0.25,0,FALSE
24/04/2021,OM/21/0163,2,2895,150,43.81333,6572,0,549,0,89,1875,3,22.42,1.58,0,FALSE
21/01/2021,OM/21/039,3,2938,100,27.52,2752,0,742,0,56,0,3,6.5,2.08,0.17,FALSE
22/01/2021,OM/21/039,3,2938,101,27.29703,2757,0,659,0,59,0,3,6,1,0,FALSE
06/03/2021,OM/21/096,5,2895,41,42.78049,1754,0,218,0,71,300,3,6.17,0.83,0,FALSE
07/03/2021,OM/21/096,5,2895,60,44.23333,2654,0,13,0,104,530,3,8,0,0,FALSE
22/01/2021,OM/21/040,3,2938,201,28.29851,5688,0,566,0,109,0,3,11.5,3,0,FALSE
04/03/2021,OM/21/084,5,2896,55,22.16364,1219,0,781,0,70,0,3,5.83,1.5,0,FALSE
26/01/2021,CR21/01,8,2851,133.96,8.4504,1132,0,533,0,0,817,2,11.25,5.75,2,FALSE
27/01/2021,CR21/01,8,2851,0,8.4504,0,0,20,0,0,10,2,0,0.75,9,FALSE
28/01/2021,CR21/01,8,2851,126.74,8.4504,1071,0,468,0,0,755,2,11,5,8,FALSE
29/01/2021,CR21/01,8,2851,73.25,8.4504,619,0,1230,0,0,913,2,9,9.5,0,FALSE
