tanggal,kk,cleaning,trial,fresh,mesin,fg_item,fg_qty,berat_unit,fg,hold,reject,waste,trimming,scrap_usage,dl,eff_hour,dt_produksi,dt_teknik
06/05/2021,WO2.210085,FALSE,FALSE,0,26,22619,2080.607585,1.0731,2232.7,0,1258.1,1.8,0,0,3,6.9,12.41,0
06/02/2021,WO1.210073,FALSE,FALSE,0,26,9781,1981.560479,0.7267,1440,0,57.6,0,0,0,3,4.99,0,0
06/02/2021,WO1.210086,FALSE,FALSE,0,26,9781,198.1560479,0.7267,144,0,55.6,0.1,0,0,3,0.5,2.9,0
10/03/2021,WO1.210139,FALSE,FALSE,0,26,9781,554.8369341,0.7267,403.2,0,451.9,0,0,0,3,1.4,0,0
01/04/2021,WO1.210185,FALSE,FALSE,0,26,9781,1714.049814,0.7267,1245.6,0,231.1,0.8,0,0,3,3.98,0.66,0
22/05/2021,WO1.210251,FALSE,FALSE,0,26,9781,1070.042659,0.7267,777.6,0,31,0,0,0,3,2.49,1.13,0
23/05/2021,WO1.210256,FALSE,FALSE,0,26,9781,990.7802394,0.7267,720,0,135.6,0,0,0,3,2.3,0.53,0
25/05/2021,WO1.210259,FALSE,FALSE,0,26,9781,990.7802394,0.7267,720,0,97.3,0.5,0,0,3,2.51,0,0
08/03/2021,WO1.210134,FALSE,FALSE,0,26,9781,495.3901197,0.7267,360,0,15,0,0,0,3,1.25,0,0
06/02/2021,WO1.210073,FALSE,FALSE,0,26,9781,317.0496766,0.7267,230.4,0,677.1,0.3,0,0,3,0.81,1.6,0
06/03/2021,WO1.210124,FALSE,FALSE,0,26,9781,1347.461126,0.7267,979.2,0,490.8,0.9,0,0,3,3.4,2.27,2.33
25/05/2021,WO3.210041,FALSE,TRUE,0,26,16648,49.54248366,1.53,75.8,0,224.2,0,0,0,3,0.24,0,0
27/04/2021,WO3.210033,FALSE,TRUE,0,26,16648,49.54248366,1.53,75.8,0,339.2,0,0,0,3,0.25,0,0
28/05/2021,WO2.210096,FALSE,FALSE,0,26,11171,176.6060916,0.7814,138,0,7.6,0,0,0,3,0.45,0,0
10/02/2021,WO2.210030,FALSE,FALSE,0,26,16255,1160.546813,0.6291,730.1,0,383.1,0,0,0,3,3.71,0,0
27/01/2021,WO2.210015,FALSE,FALSE,0,26,16302,403.659681,0.6394,258.1,0,9.6,0,0,0,3,0.892333333,0,0
10/04/2021,WO2.210050,FALSE,FALSE,0,26,12376,594.6253501,1.1424,679.3,0,113.6,0,0,0,3,2.26,0,0
05/05/2021,WO2.210085,FALSE,FALSE,0,26,22618,2279.403541,0.5365,1222.9,0,1539.3,0.8,0,0,3,4.6,9.4,3.67
27/01/2021,WO2.210015,FALSE,FALSE,0,26,16302,252.267751,0.6394,161.3,0,0.3,0,0,0,3,0.538666667,0,0
12/01/2021,WO1.210009,FALSE,FALSE,0,26,9432,2018.092567,0.713,1438.9,0,52.7,0,0,0,3,4.972,0,0
27/04/2021,WO2.210080,FALSE,FALSE,0,26,11174,0,0.797038,0,0,641,1,0,0,3,0,1.08,6.92
27/02/2021,WO2.210032,FALSE,FALSE,0,26,12376,594.7128852,1.1424,679.4,0,114.8,0,0,0,3,2.44,0.21,0
18/05/2021,WO2.210090,FALSE,FALSE,0,26,22619,3246.202591,1.0731,3483.5,0,1458.7,3.2,0,0,3,10.71,5.63,7.67
31/01/2021,WO2.210021,FALSE,FALSE,0,26,13468,30.26845638,1.49,45.1,0,2.9,0,0,0,3,0.16,0,0
20/04/2021,WO2.210059,FALSE,FALSE,0,26,16291,272.3647169,1.2788,348.3,0,271.5,0.2,0,0,3,1.12,0.47,0.25
05/03/2021,WO1.210124,FALSE,FALSE,0,26,9781,634.5121783,0.7267,461.1,0,522.5,0.2,0,0,3,1.6,2.43,5.82
29/05/2021,WO2.210097,FALSE,FALSE,0,26,12588,941.8560324,1.20666,1136.5,0,1464.4,1.1,0,0,3,6.92,0.82,1.33
29/05/2021,WO2.210097,FALSE,FALSE,0,26,12588,247.8742976,1.20666,299.1,0,407.9,0.8,0,0,3,1.93,0.17,0
03/02/2021,WO2.210023,FALSE,FALSE,0,26,22619,3172.956854,1.0731,3404.9,0,120.6,0.5,0,0,3,11.68,0.07,0
05/02/2021,WO1.210048,FALSE,FALSE,0,26,9832,1447.777625,0.7267,1052.1,0,204,0.4,0,0,3,3.83,0.05,0
24/04/2021,WO2.210076,FALSE,FALSE,0,26,13464,119.0030966,1.366351,162.6,0,412,0.2,0,0,3,0.54,3.46,0
17/05/2021,WO2.210092,FALSE,FALSE,0,26,22619,3173.422794,1.0731,3405.4,0,407.58,0.3,0,0,3,10.97,5.03,0
19/05/2021,WO2.210090,FALSE,FALSE,0,26,22619,520.6411332,1.0731,558.7,0,83.4,0,0,0,3,1.77,0,2.67
27/02/2021,WO2.210031,FALSE,FALSE,0,26,13438,69.42431827,1.5182,105.4,0,7,0.3,0,0,3,0.37,0,0
09/05/2021,WO2.210091,FALSE,FALSE,0,26,12659,496.0101646,1.153807,572.3,0,1314.8,0.3,0,0,3,1.79,8.6,3
20/04/2021,WO2.210072,FALSE,FALSE,0,26,13438,813.4633118,1.5182,1235,0,760.1,0.5,0,0,3,4.04,2.96,0.58
22/04/2021,WO2.210051,FALSE,FALSE,0,26,11197,396.812701,1.062718,421.7,0,490.2,0.5,0,0,3,1.4,1.99,0
31/01/2021,WO2.210019,FALSE,FALSE,0,26,11197,1190.438103,1.062718,1265.1,0,343.2,0.7,0,0,3,5.4296,0.403333333,0
05/03/2021,WO2.210043,FALSE,FALSE,0,26,11197,942.4889764,1.062718,1001.6,0,541.2,0.2,0,0,3,3.57,1.92,0
